Date,Region,Indicator,Value
2000-12-31,ERI,BCG_coverage_pct,89.0
2000-12-31,ERI,DTP3_coverage_pct,81.0
2000-12-31,ERI,HepB3_coverage_pct,0.0
2000-12-31,ERI,MCV1_measles_coverage_pct,76.0
2000-12-31,ESP,DTP3_coverage_pct,95.0
2000-12-31,ESP,HepB3_coverage_pct,77.0
2000-12-31,ESP,MCV1_measles_coverage_pct,94.0
2000-12-31,EST,BCG_coverage_pct,99.0
2000-12-31,EST,DTP3_coverage_pct,93.0
2000-12-31,EST,HepB3_coverage_pct,0.0
2000-12-31,EST,MCV1_measles_coverage_pct,93.0
2000-12-31,ETH,BCG_coverage_pct,57.0
2000-12-31,ETH,DTP3_coverage_pct,30.0
2000-12-31,ETH,HepB3_coverage_pct,0.0
2000-12-31,ETH,MCV1_measles_coverage_pct,28.0
2000-12-31,FIN,BCG_coverage_pct,99.0
2000-12-31,FIN,DTP3_coverage_pct,99.0
2000-12-31,FIN,HepB3_coverage_pct,0.0
2000-12-31,FIN,MCV1_measles_coverage_pct,96.0
2000-12-31,FJI,BCG_coverage_pct,96.0
2000-12-31,FJI,DTP3_coverage_pct,90.0
2000-12-31,FJI,HepB3_coverage_pct,98.0
2000-12-31,FJI,MCV1_measles_coverage_pct,81.0
2000-12-31,FRA,BCG_coverage_pct,83.0
2000-12-31,FRA,DTP3_coverage_pct,97.0
2000-12-31,FRA,HepB3_coverage_pct,26.0
2000-12-31,FRA,MCV1_measles_coverage_pct,84.0
2000-12-31,FSM,BCG_coverage_pct,24.0
2000-12-31,FSM,DTP3_coverage_pct,85.0
2000-12-31,FSM,HepB3_coverage_pct,87.0
2000-12-31,FSM,MCV1_measles_coverage_pct,85.0
2000-12-31,GAB,BCG_coverage_pct,89.0
2000-12-31,GAB,DTP3_coverage_pct,45.0
2000-12-31,GAB,HepB3_coverage_pct,0.0
2000-12-31,GAB,MCV1_measles_coverage_pct,55.0
2000-12-31,GBR,DTP3_coverage_pct,91.0
2000-12-31,GBR,HepB3_coverage_pct,0.0
2000-12-31,GBR,MCV1_measles_coverage_pct,88.0
2000-12-31,GEO,BCG_coverage_pct,95.0
2000-12-31,GEO,DTP3_coverage_pct,80.0
2000-12-31,GEO,HepB3_coverage_pct,55.0
2000-12-31,GEO,MCV1_measles_coverage_pct,73.0
2000-12-31,GHA,BCG_coverage_pct,99.0
2000-12-31,GHA,DTP3_coverage_pct,88.0
2000-12-31,GHA,HepB3_coverage_pct,0.0
2000-12-31,GHA,MCV1_measles_coverage_pct,90.0
